Id,ActivityDate,TotalSteps,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,Engagement
5553957443,4/2/2016,2937,0,0,181,356,1615,Medium
5553957443,4/3/2016,1515,0,0,93,507,1481,Medium
5553957443,4/4/2016,8921,27,8,198,754,1892,High
5553957443,4/5/2016,11306,40,26,218,772,2086,High
5553957443,4/6/2016,12252,33,28,229,745,2044,High
5553957443,4/7/2016,15444,51,39,243,731,2249,High
5553957443,4/8/2016,9938,38,24,193,767,2019,High
5553957443,4/9/2016,4599,0,0,176,578,1692,Medium
5553957443,4/10/2016,5594,4,25,150,552,1712,Medium
5553957443,4/11/2016,11906,32,27,234,688,2065,High
5553957443,4/12/2016,3436,7,11,50,61,633,Medium
5577150313,4/1/2016,10461,99,31,142,721,3625,High
5577150313,4/2/2016,14873,202,36,153,663,4430,High
5577150313,4/3/2016,9917,58,27,240,700,3427,High
5577150313,4/4/2016,7401,70,19,204,689,3492,High
5577150313,4/5/2016,8964,107,18,145,756,3597,High
5577150313,4/6/2016,11080,83,52,190,695,3765,High
5577150313,4/7/2016,4499,31,11,146,756,2775,High
5577150313,4/8/2016,4363,8,2,156,813,2486,High
5577150313,4/9/2016,10494,123,62,138,601,3817,High
5577150313,4/10/2016,9776,80,35,162,721,3378,High
5577150313,4/11/2016,2862,39,17,54,209,1511,Medium
6117666160,4/1/2016,7444,0,0,286,568,2210,High
6117666160,4/2/2016,19658,3,30,475,466,2884,High
6117666160,4/3/2016,0,0,0,0,1440,1496,Low
6117666160,4/4/2016,8468,2,11,279,1148,2262,Medium
6117666160,4/5/2016,9910,0,0,384,990,2445,High
6117666160,4/6/2016,12409,0,0,491,388,2694,High
6117666160,4/7/2016,4853,0,0,156,770,1903,High
6117666160,4/8/2016,8955,0,0,422,1018,2482,High
6117666160,4/9/2016,10789,0,0,506,413,2617,High
6117666160,4/10/2016,0,0,0,0,1440,0,Low
6290855005,4/1/2016,6633,0,0,280,1160,2778,High
6290855005,4/2/2016,9548,25,107,113,1195,3119,High
6290855005,4/3/2016,0,33,0,0,1407,2664,Medium
6290855005,4/4/2016,0,0,0,0,1440,2060,Low
6290855005,4/5/2016,0,0,0,0,1440,2060,Low
6290855005,4/6/2016,0,0,0,0,1440,2060,Low
6290855005,4/7/2016,0,0,0,0,1440,2060,Low
6290855005,4/8/2016,0,0,0,0,1440,2060,Low
6290855005,4/9/2016,0,0,0,0,1440,2060,Low
6290855005,4/10/2016,0,20,0,0,494,735,Medium
6391747486,4/1/2016,0,0,0,0,1440,1820,Low
6391747486,4/2/2016,2101,46,0,0,1394,2224,Low
6391747486,4/3/2016,0,0,0,0,1440,1820,Low
6391747486,4/4/2016,0,0,0,0,1440,1820,Low
6391747486,4/5/2016,9766,0,6,301,1133,2442,High
6391747486,4/6/2016,165,0,0,8,1432,1849,Low
6391747486,4/7/2016,0,0,0,0,1440,1822,Low
6391747486,4/8/2016,0,0,0,0,1440,1820,Low
6391747486,4/9/2016,0,0,0,0,198,251,Medium
6775888955,4/1/2016,7225,25,50,163,1189,3065,High
6775888955,4/2/2016,1988,0,0,79,909,2207,Medium
6775888955,4/3/2016,1577,1,17,8,1414,1977,Low
6775888955,4/4/2016,0,0,0,0,1440,1841,Low
6775888955,4/5/2016,9348,56,133,240,1011,4286,High
6775888955,4/6/2016,11761,24,99,300,550,3920,High
6775888955,4/7/2016,13987,46,114,250,739,3856,High
6775888955,4/8/2016,4131,27,30,75,1308,2584,Medium
6775888955,4/9/2016,14,0,0,1,601,787,Medium
6962181067,3/30/2016,15491,18,77,272,641,2244,High
6962181067,3/31/2016,14097,50,32,234,595,2188,High
6962181067,4/1/2016,10467,9,45,252,602,2014,High
6962181067,4/2/2016,12437,50,24,219,732,2115,High
6962181067,4/3/2016,12307,14,51,218,589,2055,High
6962181067,4/4/2016,18952,73,20,327,570,2437,High
6962181067,4/5/2016,12010,38,17,287,692,2158,High
6962181067,4/6/2016,12480,55,14,276,593,2170,High
6962181067,4/7/2016,13417,45,16,284,665,2244,High
6962181067,4/8/2016,14400,27,37,276,697,2188,High
6962181067,4/9/2016,12495,33,19,324,609,2231,High
6962181067,4/10/2016,10148,19,7,306,679,2100,High
6962181067,4/11/2016,12362,21,38,297,678,2188,High
6962181067,4/12/2016,5893,43,9,48,146,917,Medium
7007744171,4/1/2016,11680,50,7,244,1139,2573,High
7007744171,4/2/2016,10976,9,16,271,1075,2575,High
7007744171,4/3/2016,16806,104,31,230,1002,3086,High
7007744171,4/4/2016,15266,70,21,292,1057,2886,High
7007744171,4/5/2016,12084,50,6,284,1030,2676,High
7007744171,4/6/2016,13513,64,8,270,1098,2811,High
7007744171,4/7/2016,14100,61,33,265,1015,2840,High
7007744171,4/8/2016,12627,54,22,301,1063,2871,High
7007744171,4/9/2016,10345,2,6,358,1074,2613,High
7007744171,4/10/2016,10146,1,12,397,1030,2700,High
7007744171,4/11/2016,12168,18,27,375,1020,2871,High
7007744171,4/12/2016,7413,53,6,43,405,1023,Medium
7086361926,4/1/2016,11463,38,30,154,777,2496,High
7086361926,4/2/2016,87,0,0,2,872,1641,Low
7086361926,4/3/2016,1949,3,6,27,1404,1794,Low
7086361926,4/4/2016,6101,31,24,138,1247,2421,Medium
7086361926,4/5/2016,7478,25,33,132,1159,2439,High
7086361926,4/6/2016,7352,19,14,124,814,2233,Medium
7086361926,4/7/2016,14604,76,30,127,695,2862,High
7086361926,4/8/2016,9634,50,48,140,797,2752,High
7086361926,4/9/2016,7338,27,5,204,717,2519,High
7086361926,4/10/2016,569,0,0,27,1368,1799,Low
7086361926,4/11/2016,6242,46,22,126,741,2543,High
7086361926,4/12/2016,430,0,0,14,75,625,Medium
8053475328,4/2/2016,20188,124,19,172,1125,3377,High
8053475328,4/3/2016,25701,165,36,97,1142,3697,High
8053475328,4/4/2016,17395,100,4,213,1123,3209,High
8053475328,4/5/2016,17167,98,8,184,1150,3167,High
8053475328,4/6/2016,16435,100,14,191,1135,3122,High
8053475328,4/7/2016,17078,101,6,190,1143,3176,High
8053475328,4/8/2016,11693,60,6,153,1221,2790,High
8053475328,4/9/2016,11159,59,6,120,1255,2715,High
8053475328,4/10/2016,10118,30,18,207,1185,2684,High
8053475328,4/11/2016,16064,96,8,155,1181,3097,High
8053475328,4/12/2016,290,0,0,16,599,791,Medium
8253242879,4/1/2016,0,0,0,0,1440,1429,Low
8253242879,4/2/2016,0,0,0,0,1440,1429,Low
8253242879,4/3/2016,0,0,0,0,1440,1429,Low
8253242879,4/4/2016,0,0,0,0,1440,1429,Low
8253242879,4/5/2016,0,0,0,0,1440,1429,Low
8253242879,4/6/2016,1931,0,0,94,1346,1607,Low
8253242879,4/7/2016,5181,15,15,107,1303,1776,Low
8253242879,4/8/2016,12026,47,13,150,1230,2162,Medium
8253242879,4/9/2016,5360,8,28,148,1256,1832,Low
8253242879,4/10/2016,2545,0,0,126,1314,1657,Low
8253242879,4/11/2016,1636,0,0,86,1139,1377,Low
8253242879,4/12/2016,0,0,0,0,1440,0,Low
8378563200,4/1/2016,14179,73,21,195,719,3669,High
8378563200,4/2/2016,3358,0,0,144,657,2702,High
8378563200,4/3/2016,9152,25,13,243,600,3304,High
8378563200,4/4/2016,13935,105,16,220,658,4234,High
8378563200,4/5/2016,12846,113,15,189,686,4128,High
8378563200,4/6/2016,9124,55,6,230,728,3798,High
8378563200,4/7/2016,9725,83,11,181,670,3839,High
8378563200,4/8/2016,8350,72,10,167,868,3713,High
8378563200,4/9/2016,2240,0,0,110,843,2606,Medium
8378563200,4/10/2016,2631,0,0,117,727,2624,High
8378563200,4/11/2016,8837,74,17,182,811,3775,High
8378563200,4/12/2016,3246,65,15,49,243,1882,High
8583815059,4/1/2016,2174,0,0,112,1328,2360,Low
8583815059,4/2/2016,3494,0,0,166,1274,2517,Medium
8583815059,4/3/2016,2380,0,0,131,1309,2400,Low
8583815059,4/4/2016,3159,0,0,147,1293,2462,Medium
8583815059,4/5/2016,6835,5,15,212,1208,2786,Medium
8583815059,4/6/2016,2098,0,0,112,1328,2354,Low
8583815059,4/7/2016,2816,0,0,138,1302,2437,Medium
8583815059,4/8/2016,1408,0,0,79,1052,1814,Low
8792009665,4/1/2016,4592,4,8,176,748,2260,High
8792009665,4/2/2016,8452,9,24,328,1079,3004,High
